time,status,f0_,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,approved,9.0,9,12,11,6.42,4.85
00h,approved,9.0,6,9,5,5.0,4.92
00h,denied,6.0,9,12,11,6.42,4.85
00h,denied,6.0,6,9,5,5.0,4.92
00h,refunded,1.0,9,12,11,6.42,4.85
00h,refunded,1.0,6,9,5,5.0,4.92
00h,denied,8.0,9,12,11,6.42,4.85
00h,denied,8.0,6,9,5,5.0,4.92
00h,approved,13.0,9,12,11,6.42,4.85
00h,approved,13.0,6,9,5,5.0,4.92
00h,refunded,1.0,9,12,11,6.42,4.85
00h,refunded,1.0,6,9,5,5.0,4.92
00h,approved,11.0,9,12,11,6.42,4.85
00h,approved,11.0,6,9,5,5.0,4.92
00h,denied,7.0,9,12,11,6.42,4.85
00h,denied,7.0,6,9,5,5.0,4.92
00h,denied,3.0,9,12,11,6.42,4.85
00h,denied,3.0,6,9,5,5.0,4.92
00h,approved,12.0,9,12,11,6.42,4.85
00h,approved,12.0,6,9,5,5.0,4.92
00h,approved,11.0,9,12,11,6.42,4.85
00h,approved,11.0,6,9,5,5.0,4.92
00h,denied,2.0,9,12,11,6.42,4.85
00h,denied,2.0,6,9,5,5.0,4.92
00h,approved,9.0,9,12,11,6.42,4.85
00h,approved,9.0,6,9,5,5.0,4.92
00h,denied,2.0,9,12,11,6.42,4.85
00h,denied,2.0,6,9,5,5.0,4.92
00h,approved,9.0,9,12,11,6.42,4.85
00h,approved,9.0,6,9,5,5.0,4.92
00h,reversed,1.0,9,12,11,6.42,4.85
00h,reversed,1.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,11.0,9,12,11,6.42,4.85
00h,approved,11.0,6,9,5,5.0,4.92
00h,approved,7.0,9,12,11,6.42,4.85
00h,approved,7.0,6,9,5,5.0,4.92
00h,denied,2.0,9,12,11,6.42,4.85
00h,denied,2.0,6,9,5,5.0,4.92
00h,approved,9.0,9,12,11,6.42,4.85
00h,approved,9.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,10.0,9,12,11,6.42,4.85
00h,approved,10.0,6,9,5,5.0,4.92
00h,approved,14.0,9,12,11,6.42,4.85
00h,approved,14.0,6,9,5,5.0,4.92
00h,denied,2.0,9,12,11,6.42,4.85
00h,denied,2.0,6,9,5,5.0,4.92
00h,approved,10.0,9,12,11,6.42,4.85
00h,approved,10.0,6,9,5,5.0,4.92
00h,approved,11.0,9,12,11,6.42,4.85
00h,approved,11.0,6,9,5,5.0,4.92
00h,approved,7.0,9,12,11,6.42,4.85
00h,approved,7.0,6,9,5,5.0,4.92
